2018-01-19 10:04:54,317 | DEBUG | s4j.pax.logging) | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | added listeners [org.osgi.util.tracker.ServiceTracker$Tracked@6c17b5ad(&(objectClass=org.ops4j.pax.logging.spi.PaxAppender)(org.ops4j.pax.logging.appender.name=*))]
2018-01-19 10:04:54,317 | DEBUG | s4j.pax.logging) | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Filter (&(objectClass=org.ops4j.pax.logging.spi.PaxAppender)(org.ops4j.pax.logging.appender.name=*))
2018-01-19 10:04:54,317 | DEBUG | s4j.pax.logging) | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.ops4j.pax.logging.spi.PaxAppender]
2018-01-19 10:04:54,317 | DEBUG | s4j.pax.logging) | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.ops4j.pax.logging.spi.PaxAppender]
2018-01-19 10:05:03,340 | DEBUG | guration_service | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:03,340 | DEBUG | guration_service | fileinstall                      | 24 - org.apache.felix.fileinstall - 3.5.8 | Processing event {} on path {}
2018-01-19 10:05:04,236 | DEBUG | er@6f80fafeTimer | session                          | 29 - org.apache.felix.http.jetty - 3.2.0 | Scavenging sessions at 1516352704236
2018-01-19 10:05:34,235 | DEBUG | er@6f80fafeTimer | session                          | 29 - org.apache.felix.http.jetty - 3.2.0 | Scavenging sessions at 1516352734235
2018-01-19 10:05:50,983 | DEBUG | s4j.pax.logging) | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | added listeners [org.osgi.util.tracker.ServiceTracker$Tracked@768d8b65(&(objectClass=org.ops4j.pax.logging.spi.PaxAppender)(org.ops4j.pax.logging.appender.name=*))]
2018-01-19 10:05:50,984 | DEBUG | s4j.pax.logging) | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Filter (&(objectClass=org.ops4j.pax.logging.spi.PaxAppender)(org.ops4j.pax.logging.appender.name=*))
2018-01-19 10:05:50,984 | DEBUG | s4j.pax.logging) | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.ops4j.pax.logging.spi.PaxAppender]
2018-01-19 10:05:50,984 | DEBUG | s4j.pax.logging) | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.ops4j.pax.logging.spi.PaxAppender]
2018-01-19 10:05:51,010 | INFO  | Thread-12        | ZooKeeperServer                  | 16 - org.apache.hadoop.zookeeper - 3.4.10 | Server environment:zookeeper.version=3.4.10-39d3a4f269333c922ed3db283be479f9deacaa0f, built on 03/23/2017 10:13 GMT
